2012-10-26 00:21:14 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 18:21:47 Notice: Notice (8): Undefined index: Networkadmin in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 369]
2012-10-26 18:22:52 Notice: Notice (8): Undefined variable: data in [/var/www/vhosts/interfile.it/httpdocs/app/app/views/fronts/editadmin.ctp, line 87]
2012-10-26 18:24:54 Notice: Notice (8): Undefined variable: data in [/var/www/vhosts/interfile.it/httpdocs/app/app/views/fronts/editadmin.ctp, line 87]
2012-10-26 18:25:37 Notice: Notice (8): Undefined variable: data in [/var/www/vhosts/interfile.it/httpdocs/app/app/views/fronts/editadmin.ctp, line 87]
2012-10-26 18:27:06 Notice: Notice (8): Undefined variable: data in [/var/www/vhosts/interfile.it/httpdocs/app/app/views/fronts/editadmin.ctp, line 87]
2012-10-26 18:27:15 Notice: Notice (8): Undefined variable: data in [/var/www/vhosts/interfile.it/httpdocs/app/app/views/fronts/editadmin.ctp, line 87]
2012-10-26 18:27:53 Notice: Notice (8): Undefined variable: data in [/var/www/vhosts/interfile.it/httpdocs/app/app/views/fronts/editadmin.ctp, line 87]
2012-10-26 18:38:03 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 374]
2012-10-26 18:55:50 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 46]
2012-10-26 20:10:53 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 46]
2012-10-26 20:22:38 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 20:46:34 Notice: Notice (8): Undefined index: BIRTHDATE in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 152]
2012-10-26 20:46:34 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 156]
2012-10-26 21:01:47 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 211]
2012-10-26 21:01:47 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 212]
2012-10-26 21:01:47 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 213]
2012-10-26 21:01:47 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 214]
2012-10-26 21:01:47 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 215]
2012-10-26 21:01:58 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 211]
2012-10-26 21:01:58 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 212]
2012-10-26 21:01:58 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 213]
2012-10-26 21:01:58 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 214]
2012-10-26 21:01:58 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 215]
2012-10-26 21:06:30 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 46]
2012-10-26 21:23:06 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 399]
2012-10-26 21:23:06 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 399]
2012-10-26 21:23:16 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 399]
2012-10-26 21:23:29 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 399]
2012-10-26 21:31:38 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 46]
2012-10-26 21:31:43 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 399]
2012-10-26 21:32:59 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 399]
2012-10-26 21:41:37 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 212]
2012-10-26 21:41:37 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 213]
2012-10-26 21:41:37 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 214]
2012-10-26 21:41:37 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 216]
2012-10-26 21:41:37 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 217]
2012-10-26 21:41:37 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 218]
2012-10-26 21:41:37 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 232]
2012-10-26 21:42:45 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 399]
2012-10-26 21:43:53 Notice: Notice (8): Undefined index: EMAIL in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 399]
2012-10-26 21:44:58 Notice: Notice (8): Undefined index: EMAIL in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 399]
2012-10-26 21:45:09 Notice: Notice (8): Undefined index: EMAIL in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 399]
2012-10-26 21:45:35 Notice: Notice (8): Undefined index: EMAIL in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 399]
2012-10-26 22:24:09 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 22:45:31 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 22:51:23 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 22:55:12 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 23:01:46 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 23:07:01 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 23:09:53 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-26 23:32:19 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-27 00:06:26 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-27 00:13:02 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-27 00:17:16 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-27 00:29:02 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 00:02:32 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 00:15:03 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 07:26:20 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 08:06:14 Notice: Notice (8): Undefined variable: PROVINCE in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 129]
2012-10-29 08:07:03 Notice: Notice (8): Undefined variable: pass in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 71]
2012-10-29 08:08:04 Notice: Notice (8): Undefined variable: pass in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 70]
2012-10-29 08:18:48 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 08:44:50 Notice: Notice (8): Use of undefined constant edit - assumed 'edit' in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 273]
2012-10-29 08:44:51 Notice: Notice (8): Use of undefined constant edit - assumed 'edit' in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 273]
2012-10-29 09:01:36 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 09:03:54 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 10:47:51 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 11:03:06 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 11:03:56 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 11:04:28 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 11:07:43 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 11:19:40 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 11:19:46 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 11:20:26 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 11:23:35 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 11:23:43 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 12:33:58 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 12:34:41 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 12:36:58 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 12:41:08 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 12:47:03 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 13:09:38 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 13:09:38 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 13:10:17 Notice: Notice (8): Undefined index: User in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 446]
2012-10-29 13:16:19 Notice: Notice (8): Undefined index: PASSWORD in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 446]
2012-10-29 13:44:51 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 14:03:37 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 14:05:59 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 14:07:11 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 14:07:37 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 14:07:41 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 14:08:02 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 14:09:36 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 14:10:06 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 14:12:36 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 14:12:49 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 14:15:48 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 14:16:29 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 14:20:07 Notice: Notice (8): Undefined variable: _SESSION in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 14:25:48 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 14:35:59 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 15:13:58 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 15:15:21 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 15:27:38 Notice: Notice (8): Undefined index: dmY in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/validation.php, line 409]
2012-10-29 15:27:58 Notice: Notice (8): Undefined index: dmY in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/validation.php, line 409]
2012-10-29 15:28:07 Notice: Notice (8): Undefined index: dmY in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/validation.php, line 409]
2012-10-29 15:28:16 Notice: Notice (8): Undefined index: dmY in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/validation.php, line 409]
2012-10-29 15:29:16 Notice: Notice (8): Undefined index: dmY in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/validation.php, line 409]
2012-10-29 15:29:19 Notice: Notice (8): Undefined index: dmY in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/validation.php, line 409]
2012-10-29 15:29:28 Notice: Notice (8): Undefined index: dmY in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/validation.php, line 409]
2012-10-29 15:29:50 Notice: Notice (8): Undefined index: dmY in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/validation.php, line 409]
2012-10-29 15:30:15 Notice: Notice (8): Undefined index: dmY in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/validation.php, line 409]
2012-10-29 15:30:36 Notice: Notice (8): Undefined index: dmY in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/validation.php, line 409]
2012-10-29 15:30:42 Notice: Notice (8): Undefined index: dmY in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/validation.php, line 409]
2012-10-29 15:30:51 Notice: Notice (8): Undefined index: dmY in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/validation.php, line 409]
2012-10-29 15:31:08 Notice: Notice (8): Undefined index: dmY in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/validation.php, line 409]
2012-10-29 15:31:26 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 15:49:15 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 16:04:55 Notice: Notice (8): Undefined index: id in [/var/www/vhosts/interfile.it/httpdocs/app/cake/libs/model/model.php, line 1329]
2012-10-29 16:13:19 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 16:15:18 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 16:17:14 Notice: Notice (8): Undefined variable: data in [/var/www/vhosts/interfile.it/httpdocs/app/app/views/fronts/editadmin.ctp, line 92]
2012-10-29 16:17:17 Notice: Notice (8): Undefined variable: data in [/var/www/vhosts/interfile.it/httpdocs/app/app/views/fronts/editadmin.ctp, line 92]
2012-10-29 16:17:42 Notice: Notice (8): Undefined variable: data in [/var/www/vhosts/interfile.it/httpdocs/app/app/views/fronts/editadmin.ctp, line 92]
2012-10-29 16:26:11 Notice: Notice (8): Undefined index: BIRTHDATE in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 134]
2012-10-29 16:26:11 Notice: Notice (8): Undefined index: BIRTHDATE in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 134]
2012-10-29 16:41:29 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
2012-10-29 16:44:14 Notice: Notice (8): Undefined index: userid in [/var/www/vhosts/interfile.it/httpdocs/app/app/controllers/fronts_controller.php, line 47]
